Cluster;Number of accidents;Mean
1;62;7
1;0;
1;0;
1;0;
1;43;
1;0;
1;0;
1;4;
1;0;
1;31;
1;15;
1;20;
1;0;
1;21;
1;7;
1;0;
1;0;
1;16;
1;4;
1;12;
1;11;
1;12;
1;0;
1;0;
1;0;
1;0;
1;3;
1;0;
1;7;
1;0;
1;3;
1;0;
1;0;
1;0;
1;0;
1;3;
1;12;
1;4;
1;25;
1;0;
1;16;
1;0;
1;0;
1;0;
1;0;
1;8;
1;22;
1;0;
1;0;
1;4;
1;23;
1;0;
1;9;
1;0;
1;4;
1;0;
1;48;
1;0;
1;0;
1;0;
1;0;
1;0;
1;0;
1;9;
1;59;
1;6;
1;0;
1;4;
1;0;
1;0;
1;3;
1;9;
1;0;
1;0;
1;0;
1;0;
1;77;
1;3;
1;3;
1;4;
1;0;
1;77;
1;0;
1;0;
1;0;
1;22;
1;0;
1;0;
1;11;
1;0;
1;24;
1;4;
1;0;
1;0;
1;0;
1;0;
1;8;
1;0;
1;12;
1;0;
1;0;
1;0;
1;0;
1;0;
1;0;
1;39;
1;0;
1;0;
1;0;
1;0;
1;0;
1;47;
1;0;
1;0;
1;0;
2;94;112
2;77;
2;78;
2;78;
2;94;
2;143;
2;111;
2;141;
2;48;
2;175;
2;205;
2;82;
2;168;
2;96;
2;110;
2;116;
2;93;
2;111;
2;84;
2;161;
2;112;
2;67;
2;143;
2;143;
2;113;
2;135;
2;71;
2;106;
3;250;254
3;275;
3;262;
3;195;
3;228;
3;239;
3;206;
3;185;
3;227;
3;343;
3;306;
3;278;
3;310;
4;796;576
4;356;
